## miComplete
## v1.1.1
Name	Length	GC-content	Present Markers	Completeness	Redundancy	Contigs	N50	L50	N90	L90	CDs	
final_contigs_10	1056089	0.42	15	0.1429	1.0000	485	2077	186	1607	418	1283	
final_contigs_8	1837633	0.39	94	0.8952	1.0957	333	6970	84	2882	245	2126	
final_contigs_9	1757223	0.66	35	0.3333	1.0286	772	2176	282	1615	660	2212	
final_contigs_6	2644204	0.33	105	1.0000	1.0095	57	61699	10	24826	35	2446	
final_contigs_4	3494089	0.3	104	0.9905	1.9231	467	11678	81	3186	306	3828	
final_contigs_7	2096570	0.48	88	0.8381	1.0227	81	52209	16	13427	50	2055	
final_contigs_5	3336328	0.67	51	0.4857	1.0000	1290	2630	445	1705	1082	4082	
final_contigs_3	4338806	0.54	93	0.8857	1.0000	463	12245	108	4587	322	4087	
final_contigs_2	4806494	0.5	104	0.9905	1.0192	175	43051	35	15007	104	4616	
final_contigs_1	7358612	0.73	101	0.9619	1.0693	708	14978	144	5016	462	7100	
